"Ferm","Phylum","count_above_0","count_below_0"
"Foregut","Bacteroidota",9,32
"Foregut","Cyanobacteria",0,3
"Foregut","Desulfobacterota",0,2
"Foregut","Elusimicrobiota",0,1
"Foregut","Firmicutes",1,128
"Foregut","Proteobacteria",0,4
"Foregut","Spirochaetota",1,0
"Foregut","Verrucomicrobiota",0,2
"Hindgut","Actinobacteriota",0,2
"Hindgut","Bacteroidota",1,31
"Hindgut","Fibrobacterota",0,4
"Hindgut","Firmicutes",0,25
"Hindgut","Spirochaetota",0,6
"Hindgut","Verrucomicrobiota",1,6
"Nonfermentor","Actinobacteriota",0,1
"Nonfermentor","Bacteroidota",3,30
"Nonfermentor","Firmicutes",7,60
"Nonfermentor","Fusobacteriota",0,1
"Nonfermentor","Proteobacteria",2,4
"Nonfermentor","Spirochaetota",2,0
