"Diet","Phylum_Clean","mean_log2FoldChange","sd_log2FoldChange"
"Omnivore","Proteobacteria",-5.88583083269552,2.11216080085103
"Omnivore","Cyanobacteria",-5.01307627764989,0.829890895208834
"Omnivore","Bacteroidota",-4.72338699103551,2.53883609380613
"Omnivore","Verrucomicrobiota",-4.28748650813852,0.556600523393524
"Omnivore","Firmicutes",-4.27193180812036,2.47477524145205
"Carnivore","Bacteroidota",-3.71285135829985,2.8819654169376
"Omnivore","Spirochaetota",-3.32495351337416,5.1016879028668
"Carnivore","Firmicutes",-2.95820865989493,2.70121615178716
"Carnivore","Fusobacteriota",-2.81146347455986,0.953125031828114
"Herbivore","Fibrobacterota",-2.77270876038032,1.26680236269337
"Carnivore","Actinobacteriota",-2.68529478042765,1.00748595196161
"Herbivore","Firmicutes",-2.01947308479183,0.687620560779085
"Herbivore","Spirochaetota",-1.97262391587586,2.21319346417849
"Herbivore","Actinobacteriota",-1.96336227173917,0.488764320822024
"Herbivore","Bacteroidota",-1.88206130966145,2.05269925467996
"Herbivore","Cyanobacteria",-1.75232586724013,0.103251767796828
"Herbivore","Verrucomicrobiota",-1.39143336495404,1.88251342177457
"Herbivore","Proteobacteria",0.235033889535394,3.39178258749452
"Carnivore","Proteobacteria",1.26134989865667,5.8658637520213
