#SampleID	SampleID_extra	study_number	animal	sequencing_platform	sequencing_facility	sequencing_run_date	collector	location	country	sample_type	captive_wild	lifestage	Common name	individual_ID	NCBI_taxon_id	Taxonomy_Kingdom	Taxonomy_Phylum	Taxonomy_Class	Taxonomy_Order	Taxonomy_Family	Taxonomy_Genus	Taxonomy_Species	Activity-Crepuscular	Activity-Diurnal	Activity-Nocturnal	BodyMass	Diet-Fruit	Diet-Inv	Diet-PlantO	Diet-Scav	Diet-Seed	Diet-Vect	Diet-Vend	Diet-Vfish	Diet-Vunk	1-1_ActivityCycle	13-1_AdultHeadBodyLen_mm	2-1_AgeatEyeOpening_d	3-1_AgeatFirstBirth_d	18-1_BasalMetRate_mLO2hr	5-2_BasalMetRateMass_g	6-1_DietBreadth	7-1_DispersalAge_d	9-1_GestationLen_d	12-1_HabitatBreadth	22-1_HomeRange_km2	22-2_HomeRange_Indiv_km2	14-1_InterbirthInterval_d	15-1_LitterSizeHMC	16-1_LittersPerYear	17-1_MaxLongevity_m	5-3_NeonateBodyMass_g	13-2_NeonateHeadBodyLen_mm	21-1_PopulationDensity_n_km2	10-1_PopulationGrpSize	23-1_SexualMaturityAge_d	10-2_SocialGrpSize	10-2_SocialGrpSizeHCM	SocialityHMC	24-1_TeatNumber	TerrestrialityHMC	6-2_TrophicLevel	25-1_WeaningAge_d	5-4_WeaningBodyMass_g	26-1_GR_Area_km2	26-2_GR_MaxLat_dd	26-3_GR_MinLat_dd	26-4_GR_MidRangeLat_dd	26-5_GR_MaxLong_dd	26-6_GR_MinLong_dd	26-7_GR_MidRangeLong_dd	27-1_HuPopDen_Min_n_km2	27-2_HuPopDen_Mean_n_km2	27-3_HuPopDen_5p_n_km2	27-4_HuPopDen_Change	28-1_Precip_Mean_mm	28-2_Temp_Mean_01degC	30-1_AET_Mean_mm	30-2_PET_Mean_mm	OchHMC	ConservationStatusHMC	LitDietDiversityHMC	GutFermentersHMC	DietDiversityIndex	NumberDietCategories
Ory.afe.Cinci.1.653709	Ory.afe.Cinci.1.653709.Aardvark	1056	Aardvark	Illumina MiSeq	CU Boulder	2008-10-08	Delsuc et al. 2014	Cincinnati Zoo	USA	fecal	captive	adult	Aardvark	Ory.afe.Cinci.1	9818	Metazoa	Chordata	Mammalia	Tubulidentata	Orycteropodidae	Orycteropus	Orycteropus afer	1	0	1	52350.4	0	100	0	0	0	0	0	0	0	1	1254.43	0	1095	6144	48000	1	NA	222.05	2	NA	NA	NA	1.1	1	288	1899.68	NA	NA	NA	755.15	1	1	No	4	terrestrial	3	40.92	5612.48	18035652.33	23.47	-34.83	-5.68	51.41	-17.53	16.93	0	31.68	1	0.12	75.34	234.77	800.71	1524.66	C	LeastConcern	1	N	0	1
Ory.afe.Cinci.2.653750	Ory.afe.Cinci.2.653750.Aardvark	1056	Aardvark	Illumina MiSeq	CU Boulder	2008-10-08	Delsuc et al. 2014	Cincinnati Zoo	USA	fecal	captive	adult	Aardvark	Ory.afe.Cinci.2	9818	Metazoa	Chordata	Mammalia	Tubulidentata	Orycteropodidae	Orycteropus	Orycteropus afer	1	0	1	52350.4	0	100	0	0	0	0	0	0	0	1	1254.43	0	1095	6144	48000	1	NA	222.05	2	NA	NA	NA	1.1	1	288	1899.68	NA	NA	NA	755.15	1	1	No	4	terrestrial	3	40.92	5612.48	18035652.33	23.47	-34.83	-5.68	51.41	-17.53	16.93	0	31.68	1	0.12	75.34	234.77	800.71	1524.66	C	LeastConcern	1	N	0	1
Ory.afe.Cinci.3.653669	Ory.afe.Cinci.3.653669.Aardvark	1056	Aardvark	Illumina MiSeq	CU Boulder	2008-10-08	Delsuc et al. 2014	Cincinnati Zoo	USA	fecal	captive	adult	Aardvark	Ory.afe.Cinci.3	9818	Metazoa	Chordata	Mammalia	Tubulidentata	Orycteropodidae	Orycteropus	Orycteropus afer	1	0	1	52350.4	0	100	0	0	0	0	0	0	0	1	1254.43	0	1095	6144	48000	1	NA	222.05	2	NA	NA	NA	1.1	1	288	1899.68	NA	NA	NA	755.15	1	1	No	4	terrestrial	3	40.92	5612.48	18035652.33	23.47	-34.83	-5.68	51.41	-17.53	16.93	0	31.68	1	0.12	75.34	234.77	800.71	1524.66	C	LeastConcern	1	N	0	1
Ory.afe.Colch.1.653716	Ory.afe.Colch.1.653716.Aardvark	1056	Aardvark	Illumina MiSeq	CU Boulder	2008-10-08	Delsuc et al. 2014	Colchester Zoo	United Kingdom	fecal	captive	adult	Aardvark	Ory.afe.Colch.1	9818	Metazoa	Chordata	Mammalia	Tubulidentata	Orycteropodidae	Orycteropus	Orycteropus afer	1	0	1	52350.4	0	100	0	0	0	0	0	0	0	1	1254.43	0	1095	6144	48000	1	NA	222.05	2	NA	NA	NA	1.1	1	288	1899.68	NA	NA	NA	755.15	1	1	No	4	terrestrial	3	40.92	5612.48	18035652.33	23.47	-34.83	-5.68	51.41	-17.53	16.93	0	31.68	1	0.12	75.34	234.77	800.71	1524.66	C	LeastConcern	1	N	0	1
Ory.afe.Colch.2.653725	Ory.afe.Colch.2.653725.Aardvark	1056	Aardvark	Illumina MiSeq	CU Boulder	2008-10-08	Delsuc et al. 2014	Colchester Zoo	United Kingdom	fecal	captive	adult	Aardvark	Ory.afe.Colch.2	9818	Metazoa	Chordata	Mammalia	Tubulidentata	Orycteropodidae	Orycteropus	Orycteropus afer	1	0	1	52350.4	0	100	0	0	0	0	0	0	0	1	1254.43	0	1095	6144	48000	1	NA	222.05	2	NA	NA	NA	1.1	1	288	1899.68	NA	NA	NA	755.15	1	1	No	4	terrestrial	3	40.92	5612.48	18035652.33	23.47	-34.83	-5.68	51.41	-17.53	16.93	0	31.68	1	0.12	75.34	234.77	800.71	1524.66	C	LeastConcern	1	N	0	1
Ory.afe.Colch.3.653751	Ory.afe.Colch.3.653751.Aardvark	1056	Aardvark	Illumina MiSeq	CU Boulder	2008-10-08	Delsuc et al. 2014	Colchester Zoo	United Kingdom	fecal	captive	adult	Aardvark	Ory.afe.Colch.3	9818	Metazoa	Chordata	Mammalia	Tubulidentata	Orycteropodidae	Orycteropus	Orycteropus afer	1	0	1	52350.4	0	100	0	0	0	0	0	0	0	1	1254.43	0	1095	6144	48000	1	NA	222.05	2	NA	NA	NA	1.1	1	288	1899.68	NA	NA	NA	755.15	1	1	No	4	terrestrial	3	40.92	5612.48	18035652.33	23.47	-34.83	-5.68	51.41	-17.53	16.93	0	31.68	1	0.12	75.34	234.77	800.71	1524.66	C	LeastConcern	1	N	0	1
Ory.afe.Colch.4.653739	Ory.afe.Colch.4.653739.Aardvark	1056	Aardvark	Illumina MiSeq	CU Boulder	2008-10-08	Delsuc et al. 2014	Colchester Zoo	United Kingdom	fecal	captive	adult	Aardvark	Ory.afe.Colch.4	9818	Metazoa	Chordata	Mammalia	Tubulidentata	Orycteropodidae	Orycteropus	Orycteropus afer	1	0	1	52350.4	0	100	0	0	0	0	0	0	0	1	1254.43	0	1095	6144	48000	1	NA	222.05	2	NA	NA	NA	1.1	1	288	1899.68	NA	NA	NA	755.15	1	1	No	4	terrestrial	3	40.92	5612.48	18035652.33	23.47	-34.83	-5.68	51.41	-17.53	16.93	0	31.68	1	0.12	75.34	234.77	800.71	1524.66	C	LeastConcern	1	N	0	1
Ory.afe.Colch.5.653694	Ory.afe.Colch.5.653694.Aardvark	1056	Aardvark	Illumina MiSeq	CU Boulder	2008-10-08	Delsuc et al. 2014	Colchester Zoo	United Kingdom	fecal	captive	adult	Aardvark	Ory.afe.Colch.5	9818	Metazoa	Chordata	Mammalia	Tubulidentata	Orycteropodidae	Orycteropus	Orycteropus afer	1	0	1	52350.4	0	100	0	0	0	0	0	0	0	1	1254.43	0	1095	6144	48000	1	NA	222.05	2	NA	NA	NA	1.1	1	288	1899.68	NA	NA	NA	755.15	1	1	No	4	terrestrial	3	40.92	5612.48	18035652.33	23.47	-34.83	-5.68	51.41	-17.53	16.93	0	31.68	1	0.12	75.34	234.77	800.71	1524.66	C	LeastConcern	1	N	0	1
Ory.afe.Colch.6.653748	Ory.afe.Colch.6.653748.Aardvark	1056	Aardvark	Illumina MiSeq	CU Boulder	2008-10-08	Delsuc et al. 2014	Colchester Zoo	United Kingdom	fecal	captive	adult	Aardvark	Ory.afe.Colch.6	9818	Metazoa	Chordata	Mammalia	Tubulidentata	Orycteropodidae	Orycteropus	Orycteropus afer	1	0	1	52350.4	0	100	0	0	0	0	0	0	0	1	1254.43	0	1095	6144	48000	1	NA	222.05	2	NA	NA	NA	1.1	1	288	1899.68	NA	NA	NA	755.15	1	1	No	4	terrestrial	3	40.92	5612.48	18035652.33	23.47	-34.83	-5.68	51.41	-17.53	16.93	0	31.68	1	0.12	75.34	234.77	800.71	1524.66	C	LeastConcern	1	N	0	1
Ory.afe.Colch.7.653684	Ory.afe.Colch.7.653684.Aardvark	1056	Aardvark	Illumina MiSeq	CU Boulder	2008-10-08	Delsuc et al. 2014	Colchester Zoo	United Kingdom	fecal	captive	adult	Aardvark	Ory.afe.Colch.7	9818	Metazoa	Chordata	Mammalia	Tubulidentata	Orycteropodidae	Orycteropus	Orycteropus afer	1	0	1	52350.4	0	100	0	0	0	0	0	0	0	1	1254.43	0	1095	6144	48000	1	NA	222.05	2	NA	NA	NA	1.1	1	288	1899.68	NA	NA	NA	755.15	1	1	No	4	terrestrial	3	40.92	5612.48	18035652.33	23.47	-34.83	-5.68	51.41	-17.53	16.93	0	31.68	1	0.12	75.34	234.77	800.71	1524.66	C	LeastConcern	1	N	0	1
