# Constructed from biom file
#OTU ID	10936.ATL.24059.giraffe	10936.ATL.24062.rhinoceros	10936.ATL.24081.rhinoceros	10936.ATL.24570.warthog	10936.ATL.24592.lemur	10936.ATL.24979.colobus	10936.ATL.24983.guenon	10936.ATL.24995.monkey	10936.ATL.25003.colobus	10936.ATL.25120.gorilla	10936.ATL.25121.giraffe	10936.ATL.25122.zebra	10936.ATL.25123.giraffe	10936.ATL.25126.zebra	10936.FD.0019.antelope	10936.FD.0040.giraffe	10936.FD.0087.aardvark	10936.FD.0088.aardvark	10936.FD.0089.aardvark	10936.FD.0090.aardvark	10936.FD.0099.wolf	10936.FD.0153.wildebeest	10936.FD.0156.wildebeest	10936.FD.0159.wildebeest	10936.FD.0162.wildebeest	10936.FD.0168.cheetah	10936.FD.0171.antelope	10936.FD.0174.antelope	10936.FD.01830.impala	10936.FD.01980.springbok	10936.FD.0204.zebra	10936.FD.0207.zebra	10936.FD.0222.zebra	10936.FD.0226.springbok	10936.FD.02290.wildebeest	10936.FD.0238.impala	10936.FD.02410.zebra	10936.FD.0256.ass	10936.FD.02590.zebra	10936.FD.0265.impala	10936.FD.0268.wilddog	10936.FD.02680.zebra	10936.FD.0290.onager	10936.FD.0291.onager	10936.FD.0292.onager	10936.FD.0295.wolf	10936.FD.0305.guenon	10936.FD.0308.guenon	10936.FD.0420.ass	10936.FD.0447.lemur	10936.FD.0455.ass	10936.FD.0472.lemur	10936.FD.0483.monkey	10936.FD.0490.monkey	10936.FD.0492.springbok	10936.FD.18730.gorilla	10936.FD.18951.gorilla	10936.FD.hippo.antelope	10936.NATL.24654.phorse	10936.NATL.24659.howler	10936.NATL.24666.phorse	10936.NATL.24711.phorse	10936.NATL.25028.howler	10936.NATL.25062.anteater	10936.NATL.25072.phorse	10936.NATL.25080.anteater	10936.NATL.25181.anteater	10936.NATL.25184.anteater	10936.TS.006.rhino	10936.TS.042.warthog	10936.TS.086.baboon	10936.TS.099.zebra	10936.TS.150.zebra	10936.TS.170.impala	10936.TS.172.impala	10936.TS.174.aardvark	10936.TS.182.giraffe	10936.TS.207.wilddog	10936.TS.208.wilddog	10936.TS.209.wilddog	10936.TS.210.wilddog	10936.ZU.18191.rhinoceros	10936.ZU.18195.wolf	10936.ZU.18199.gorilla	10936.ZU.18207.rhinoceros	10936.ZU.18217.lemur	10936.ZU.18228.gorilla	10936.ZU.18232.lemur	10936.ZU.18249.zebra	10936.ZU.18257.anteater	10936.ZU.18269.anteater
1CMET2-PWY	75578.47369615482	43909.43012274648	89858.44240951134	46149.965687455915	109521.47597003708	52953.275547330326	41880.75661687402	50749.34215802277	57867.37024648824	55385.33689240884	60638.644785985365	55224.49284590948	54506.45384699643	61070.08017527725	87349.39729343567	65227.91426658893	139586.638730013	86528.230496426	103695.54231017012	80305.42397346982	95606.58991485632	111257.87289378796	67963.23307979196	72585.33996829747	10137.67604358145	97052.61577217616	96600.8632447686	87926.45520380183	127920.66319524402	79881.59793710869	104606.84645964003	110551.69368162083	102079.00391949546	51916.61157529399	109521.48944364862	86983.75373126315	95037.72803556213	92542.62163455274	110867.11522018752	62094.98128499305	65831.39433377901	70403.94386932805	96281.73035063042	81497.44341570938	105512.95835079829	75135.04753007895	58298.3232783472	62719.725158544985	58044.07450422986	66237.8057300287	41268.249628860394	31508.36766346081	69598.30329847017	63857.25255436929	56109.21325264241	50541.95980151108	75101.96994808521	85612.09853468263	30525.84600365822	37096.50646955194	61885.62003439575	28712.643045729437	30065.855505916043	80151.8399097921	82059.82006542358	43008.57810507553	48932.725677918934	68790.77259862125	87486.46747862217	85610.15867825162	84900.79956708247	78330.20602862541	81843.85380160053	52553.44408428579	70383.33409517823	78286.88399055302	67174.10771586723	69052.16091625573	94996.69279888956	40262.42579039998	52828.768001962715	78053.36557416114	69926.92615336295	54236.75393545328	87860.75281117448	91945.70503965554	50629.81335573671	86946.85808331233	95214.94755647249	56496.973500212276	53432.888334439085
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	5214.183144106619	1099.7611336014688	853.2860261312167	380.0906039409849	2342.517957319697	322.02072401748046	4136.852720916082	208.4673951164948	1077.6106934180025	524.9960803241764	411.3733169342849	172.35181754317998	260.28831992886325	329.41699303614854	1873.2253281490744	439.28055769739	21120.738772302102	3730.910323807613	14611.591114747122	5715.530423527051	39.389356921212645	7640.504018753882	7255.6225844185465	591.0589354299033	47.33862237519141	991.3118059319269	10491.911601244232	346.1164368925886	1082.8722213242768	689.3876309062116	629.3952657871363	1132.2690768844955	1031.220143908175	424.41864472673063	856.1698902007076	674.877746011526	494.8970482000321	390.36905795826453	944.8451935104869	735.8965658912983	271.88467208969223	469.4297868978508	237.97741503244276	228.9369279311624	383.7682212049972	63.37603878988583	176.94344891297928	743.974609271377	6983.151401242985	708.6723639379207	283.50005633733406	2325.8535824014975	718.8873691306718	516.862187004903	765.2466894385387	394.7647528826491	17452.524279567246	1148.271337586984	226.8764135574637	223.68207334048532	171.6193154198479	496.896395590242	4655.461433572448	456.42964447795504	994.1184342689482	5301.366937999158	488.70214028084075	483.0539111623251	3046.1489995907073	352.5840492579561	793.932047790128	374.4213795223957	489.16150069024815	456.45543385756685	469.319346233956	1230.5446100145314	1894.454337142792	133.77379990561295	116.701812377521	135.3201960334978	19.862698000703016	255.2469021931226	6.4130500629318545	522.1353599284564	303.6932777838068	234.0095296514449	268.14859218887875	205.19531010283265	810.3854549103296	751.8798387025508	62.87564652818665
AEROBACTINSYN-PWY	1147.6200051979947	121.94885168030761	91.20392355581139	7.912354243050365	23.783768265540946	1942.5740758875206	783.0201791251723	19.58231195655587	64.524014248836	3.3670823610694587	14.586946276473817	12.39017914408179	32.124151140502214	53.90649047698004	14.507604393070103	16.712637026399445	41.16376148002053	8200.80814503418	45.663876923454715	4924.1504317755225	109.28651270014295	12.619100074961105	12372.557746191624	6.322550856417448	0.22884508040571136	143.09287254712518	613.9731970604411	152.30101103880136	18.52546858060522	7455.291177227083	42.28517491891598	185.3605405890928	478.26339482028783	8.319101190158289	13.413195660402947	47.93929080361678	6.554472421756635	31.703717739842148	423.2954086423123	28.83129881728712	2254.502032457151	6790.252957294982	2.172748041295975	0.04473870529509825	1.0933258103727461	337.8725988579308	4.08442102965261	62.18561314960421	727.1007176479048	3530.5696683621795	0.1059172510173369	5728.700992081655	4.091998478367071	0.03060320688320801	0.06273430641603063	7.204475654181895	15259.049545343025	14.84102151570345	180.4318007790253	291.0047517225243	417.35925106285913	3652.3815345925414	3341.150390082488	3.207464261540968	1120.177824232016	19016.08352935078	2132.307112923468	79.21139724957034	268.74689260484064	107.53422207324367	7.415789687212379	4.415026013369404	22.2703978866166	19.46344885818233	3.871954924442387	9.202330331611826	25.797304829325075	2.129016547066942	8.96163964567961	2.3852034193629557	0.0002287378853903708	632.9630113208555	76.21592722799573	21.534517658646543	19.77762650196213	4.481655266244415	46.98560818425679	3.993760979519361	0.07347577315818306	690.3080938484061	184.21084862269927
ALL-CHORISMATE-PWY	15760.594590509038	7695.69475065837	21904.329101426625	2824.7123273079937	7985.648552624961	12577.614110238088	6847.160379899554	2136.884646988428	4109.235904072884	3611.6852243278454	3972.536450708002	2919.9093198082596	4208.1645650426735	4673.764679462517	6428.208523312615	3395.3141233810743	25319.243951293513	38681.6248690098	33149.21230727482	30758.36742479286	1253.6966026805585	11025.015538539223	43161.74162067327	7138.614206518978	1008.9655499432249	5651.285616290827	12490.765607143954	6165.65752434652	7905.62516617329	28041.899972304258	5088.180771299552	7199.468572869346	8060.538428005184	3513.065695557077	5447.143193147203	5959.912271756053	5867.084109829638	5798.699196245348	6162.1588598358785	3809.707213005084	9495.392978434797	31050.866775987986	2505.3813939359397	3432.199008072471	4314.515716782931	3239.233398493403	1667.116596372132	4448.511970189886	30869.869069858418	27260.594509430775	4134.764758068594	18590.328941749314	2038.7843290456906	5392.167037822386	4159.978521184427	4087.5485062651173	38157.42420049929	7362.441719811263	1962.2703315118704	2594.455063914396	2927.907715651488	9531.321714942918	17799.659552772784	1646.5668156396764	14011.843698096585	37841.319855844056	8887.223771397918	3162.364073556117	16803.558747174233	7393.094092469179	4166.69247201944	3359.976840204237	4858.064660477229	3299.267552797926	2785.923654775172	1003.5603529205532	2943.541052165929	1161.9323290144873	1477.538534300881	1102.5056301008026	584.1227159044186	7844.722675068827	850.8941954708528	4545.613985173678	5147.091499570251	6928.388940961278	3254.881465034733	6181.281672996723	5019.0898996647975	4918.727989867408	1460.5084603296543
ANAEROFRUCAT-PWY	84435.034251226	35839.06240887305	70711.1487478269	43915.33935817651	63856.16854578348	42052.701587667034	31069.115601199093	44164.43967460045	49627.643112850674	49189.585302540705	55158.37166762481	44696.48223810443	50256.59572926635	51494.65651016316	80286.05899308919	57360.20479964693	117936.54130927127	83494.0921399202	79053.43651503258	88934.15944854802	39930.10374828217	106576.31225075574	67363.28630723304	69145.27744583678	9422.168922631472	104793.72547639493	107449.26383312326	77969.21117693369	111251.47537409667	69383.34938076067	88144.53333873999	96880.37184825607	83630.30664691557	44077.19704327994	97987.98063001351	72540.46814165995	84789.1040740885	75830.90974027255	86651.69240079912	52586.55448929288	54138.13375695865	63316.19238866253	90003.12508791572	75362.1294786556	95798.68785534055	60752.19816983276	58766.5091619677	50036.42680127316	67925.82910880391	52909.40941612013	34606.65401481947	29505.962146188256	52882.81572880506	54744.07771057154	47226.403007133384	53412.14611681512	53411.63170502917	76189.61702720592	20765.089165014593	26269.882790616015	54037.733986248415	38743.22574036873	35020.12171798913	68123.52216289986	72192.93192417198	49189.09763040991	52830.56727770531	74247.76468334477	65833.13459697714	82819.85213619214	75920.68430516198	66448.99354740023	68632.38660736069	47214.38468527897	64050.714491366496	80873.10994667797	60381.04778588256	66027.61271370106	86271.52330459624	32635.95101912333	53635.84473109823	71471.95335869704	68397.88160758738	60246.46154374504	84230.23659562482	88220.36291339478	54637.31308879891	80261.07543822637	86435.02075557575	63547.556449709926	64393.62651021085
ANAGLYCOLYSIS-PWY	100795.513075529	55230.75577574148	111177.32200272044	62973.33490575615	80707.67410622166	70140.10860115588	42605.25794684807	63112.263257937295	78711.52043871	76125.67655067942	78733.32272303989	69281.21735131343	70783.28896832756	80373.1552699585	115231.33369366114	87116.26960259298	165112.2541564224	102069.80175368304	104134.91485680526	104340.75048850731	111007.4335016829	143327.50703584988	76608.33625125462	98003.99932953407	13547.837533092188	127303.50668620771	127440.0354922857	115670.3154734218	169623.31507037074	105651.404225846	141057.2390733232	147037.77675690435	136890.92202816397	66084.03054247348	143422.5933302384	114560.06457919131	126930.15304357838	120404.33846514871	144662.4607132271	84317.40068890227	78751.03977830232	92583.49222978496	133493.17862467887	108287.15186463323	141646.72896459396	108341.30655528413	77757.62024792656	84274.82652642799	71973.97364022587	84514.17365882172	55625.845371275864	38973.70455002397	88621.57052682889	84385.49721766582	72896.73128192232	69439.94044183269	73764.13457045337	112916.37619977501	42763.83296408223	51636.24465000662	76070.30793006874	50691.424840127554	40362.47559649895	104412.85462423215	103277.90273610767	53548.13165241857	66392.13422880326	91144.471109492	95464.14180551976	119876.7453188016	124502.21347277168	100516.58954786623	109252.29368571883	72139.057532772	94996.41807971436	107858.86114607668	90129.42151994526	87765.10011933937	118262.17628513306	54288.22644173576	69245.57789786605	106078.50864539325	89429.28905044965	71889.10868127609	125231.17727939202	129991.20827579364	70526.79289816381	116190.95927737495	131382.889127069	81165.1756346556	80136.69771616472
ARG+POLYAMINE-SYN	36677.19093845723	16109.633040345821	29118.893944182146	12743.356976398689	16378.979650855948	23827.728331404393	22159.562089157782	25001.04854258531	24907.549090137258	23299.900695405366	25368.46289587649	15986.199697355696	23254.055783642994	19098.847598832283	40212.18899028213	32753.198637415157	110197.95554459086	49582.501763247725	55938.64402213023	46350.18180282284	19270.975504686605	50092.95084356189	43021.83884601565	32551.849310817684	4862.863455185117	37305.44344722895	55902.12150518994	37461.644830868965	54985.66254604119	47310.675800554294	39402.09191791003	43777.49298708946	35211.70105047294	19047.475097554736	46996.755881578334	39915.61142831055	37250.85738134499	24554.630358708793	32144.416705405212	31869.4118359606	17467.76552934597	36539.68994570342	26319.982812896633	23400.31557610781	34954.063039145716	37371.55620060016	20885.2376097137	23406.760184814513	36385.47023469015	29585.981697412728	13080.431464881685	21742.45623917903	26355.714726869595	27881.278014964046	23942.142193595577	20769.653487037693	39815.56953766535	41254.27963085776	11498.8389135626	14395.510338493168	27597.004666224857	18525.210954074788	22044.330838514234	20469.350881023674	26230.241842115185	36770.36269693375	27131.602787296637	30304.44780466487	25205.504771120777	26943.515730654235	41230.1372630936	26465.280767804386	27159.48204381508	26119.51136725646	33275.7207785099	34444.85791269996	32242.547222094705	26728.315621486527	30868.340886500704	15626.964557728981	24648.86394647626	31147.825927338414	31730.085127229795	25407.766762087693	36031.018409355995	33474.118571611754	22892.209962996647	31871.56837870136	28653.099043115086	17641.274139547157	13957.504966372086
ARGDEG-PWY	2851.597543417418	213.37279216241726	224.32888878938368	134.67720942310564	613.6062429313239	1564.6235901561588	4223.328861734067	77.63826987639575	146.33175989788515	48.33230105499109	69.57242068533002	58.29165372567609	47.546828903409455	56.87889149385976	119.36829158588014	82.02272159041183	113.15584949127879	7410.274589493814	269.7143143184957	3577.787616484746	50.62959880957095	122.41906904329007	10559.881594666891	124.06356890994462	20.366855897330616	348.43688504042115	663.5931548857296	277.5498605112816	199.12366796299025	5611.04088686667	235.02344099872482	89.37780630187173	208.55301520771988	118.45516402870624	123.61448673063028	243.21749509000685	131.66908858341415	202.50752135929827	86.7078220327981	107.48713602342039	1390.1146355861422	5216.164647812764	67.2910193426191	68.59031279244846	137.72987374417764	243.35217299620533	130.80188170839745	173.28843519970403	1986.9908974640532	2774.0060455688135	47.19378860432826	9101.553174715678	31.10818626734146	150.73440467395778	127.13797185033413	316.3590941368412	28858.296822707616	194.9752106155726	575.3613428694136	858.9366510587025	658.736090725488	3639.761175472877	4852.304558880981	51.76930025329027	2504.5834188619683	24526.09250117181	2229.7937453217096	178.8264294306975	783.1908774571774	220.53326401296303	143.06324232053043	78.92497037559046	160.1647326515142	112.7451296969419	121.14543592187997	28.24807381375501	91.75978223884779	4.2412040025683	7.326733585863806	4.38514043230038	8.449181171808847	91.4032466705815	57.98373552066065	288.6935870119521	295.7128464580826	74.20726916128368	152.4425999708481	200.7867950657635	140.57148878303383	1913.1157053850377	154.57268010745472
ARGORNPROST-PWY	22825.365198067837	12439.000087237753	28432.62487349365	10232.372278412877	10164.191077870888	17936.54104705928	19595.222745552157	18499.204655095622	19282.88935581288	18895.151253079268	16242.436108394955	14566.365086223554	15397.410951402617	15750.03188836627	24105.94353741054	19924.18582086833	74277.93466181167	22782.19235057814	42621.4901513318	29474.615920125132	4711.443104689336	36768.78850091881	24623.29266577045	29043.24452413843	3555.734359088654	35175.8953379675	41520.387443386564	20627.826938283677	37096.35838169406	13091.154110147354	31488.017203608746	35127.69801218107	30060.45561172197	12359.599574814898	29418.562249229744	26447.555250613936	36920.40821165095	23067.843202838216	30772.794236130412	19489.624460353043	2779.599401966479	21735.567091449462	27031.63809486703	21582.857469906383	29211.987823224445	33092.80390534411	16759.837804251405	19074.336355617826	26214.719882584006	18188.819861066608	10751.871259806381	11096.309137413973	16642.943223676193	28339.972282019025	15274.130253756364	18753.087021655014	22442.27784730327	25395.60319932846	5753.091410381619	9534.166517630367	5920.437273337262	6941.848045314349	16105.320796713651	19343.172423566844	15707.380715604218	13107.08421052763	15905.325097527797	15688.05914287017	18236.055705065264	22166.945227527234	30440.658552738547	22460.01003843989	22833.60971232377	16980.82572254882	21014.795531252876	15394.330482459456	20545.45485289755	13732.56681540992	18272.062987000114	11639.527660333573	9770.651026362308	30173.674532940357	6110.629745052819	23543.420615940242	35008.536586844784	32061.72375161506	20596.096117517925	28149.542373272412	23897.16905048177	20232.87215270712	12427.136069308974
ARGSYN-PWY	70787.58472654762	34171.53023739203	70395.99104925785	35929.029308119476	69434.7224413949	49292.01074743561	39578.79167516244	47642.171228238825	61050.37940143079	59269.74699116205	51660.259574131036	48019.833465744865	46386.913028959534	54820.21734347046	76274.59789171281	62393.86562058559	142976.80136774908	75261.04394045167	96563.30776417877	76057.03199303712	30599.66389656618	98420.58624734067	60339.053735656285	71432.32337938537	9489.110567723032	74564.15815941316	101212.92223505831	72605.96169406363	112669.01355877248	75724.7566849251	93828.62409110356	99018.27804761374	89009.62903707792	40577.63445121784	90549.57174626326	75740.69217905294	81808.00510894437	73484.50954579149	93951.12132107026	57491.332789639375	23876.78438288981	58897.331203937145	74433.82074084967	70492.8477524277	88069.34317843475	52728.35959030445	59105.161937280594	56668.8931611581	66460.81015571047	66908.75825607158	35018.47372636068	26869.589800917533	75698.78370307173	65697.22671781846	47633.955635977676	54039.37928045514	59119.83202427758	77867.7136770052	27067.736530216716	34098.29514083545	40885.84822013526	42185.29707674719	32476.80858473525	72983.12163705059	80274.74885306618	42017.98437825641	40147.62631118894	57385.24388752177	59933.93685891976	77988.05629744584	95093.46960988842	68483.58443365537	72030.92248086967	50534.49084160654	63227.71064431865	68121.64025942201	62629.66991772243	43252.459295244385	57537.18177531933	26020.955317434964	35149.54137393951	67878.71004965942	44320.12174516344	47432.42298886845	79270.12319459316	80022.26249335123	40133.453451120615	76403.6837738586	74291.62648975143	53732.39497064879	66216.31775082542
